id,full_name,link,first_name,last_name,birth_date,current_age,birth_city,birth_country,height,weight,active,use_name,use_last_name,middle_name,boxscore_name,gender,is_player,is_verified,name_first_last,name_slug,first_last_name,last_first_name,last_init_name,init_last_name,full_fml_name,full_lfm_name,strike_zone_top,strike_zone_bottom,primary_number,pronunciation,mlb_debut_date,primary_position_code,primary_position_name,primary_position_type,primary_position_abbreviation,bat_side_code,bat_side_description,pitch_hand_code,pitch_hand_description,photo_link,team_info,team_name,level,parent_org,level_abb
828430,Chia-Shi Shen,/api/v1/people/828430,Chia-Shi,Shen,2003-12-03,21,Puli,Taiwan,"6' 3""",185,TRUE,Chia-Shi,Shen,NA,Shen,M,TRUE,TRUE,Chia-Shi Shen,chia-shi-shen-828430,Chia-Shi Shen,"Shen, Chia-Shi","Shen, C",C Shen,Chia-Shi Shen,"Shen, Chia-Shi ",3.49,1.601,NA,NA,NA,1,Pitcher,Pitcher,P,R,Right,R,Right,"https://img.mlbstatic.com/mlb-photos/image/upload/c_fill,g_auto/w_180/v1/people/828430/headshot/milb/current",,Modesto Nuts,Single-A,Seattle Mariners,A
835646,Chang Tzu-Chun Lin,/api/v1/people/835646,Chang Tzu-Chun,Lin,2005-10-06,19,New Taipei,Taiwan,"6' 0""",165,TRUE,Chang Tzu-Chun,Lin,NA,Lin,M,TRUE,TRUE,Chang Tzu-Chun Lin,chang-tzu-chun-lin-835646,Chang Tzu-Chun Lin,"Lin, Chang Tzu-Chun","Lin, C",C Lin,Chang Tzu-Chun Lin,"Lin, Chang Tzu-Chun ",3.371,1.535,NA,NA,NA,1,Pitcher,Pitcher,P,R,Right,R,Right,"https://img.mlbstatic.com/mlb-photos/image/upload/c_fill,g_auto/w_180/v1/people/835646/headshot/milb/current",,DSL Brewers Gold,Rookie,Milwaukee Brewers,Rk
801179,Yu-Min Lin,/api/v1/people/801179,Yu-Min,Lin,2003-07-12,22,Taitung,Taiwan,"5' 11""",160,TRUE,Yu-Min,Lin,NA,"Lin, Y",M,TRUE,FALSE,Yu-Min Lin,yu-min-lin-801179,Yu-Min Lin,"Lin, Yu-Min","Lin, Y",Y Lin,Yu-Min Lin,"Lin, Yu-Min",3.319,1.513,NA,NA,NA,1,Pitcher,Pitcher,P,L,Left,L,Left,"https://img.mlbstatic.com/mlb-photos/image/upload/c_fill,g_auto/w_180/v1/people/801179/headshot/milb/current",,Reno Aces,Triple-A,Arizona Diamondbacks,AAA
696040,Po-Yu Chen,/api/v1/people/696040,Po-Yu,Chen,2001-10-02,24,Taoyuan City,Taiwan,"6' 1""",201,TRUE,Po-Yu,Chen,NA,"Chen, P",M,TRUE,FALSE,Po-Yu Chen,po-yu-chen-696040,Po-Yu Chen,"Chen, Po-Yu","Chen, P",P Chen,Po-Yu  Chen,"Chen, Po-Yu",3.47,1.59,NA,NA,NA,1,Pitcher,Pitcher,P,L,Left,R,Right,"https://img.mlbstatic.com/mlb-photos/image/upload/c_fill,g_auto/w_180/v1/people/696040/headshot/milb/current",,Indianapolis Indians,Triple-A,Pittsburgh Pirates,AAA
692617,Chih-Jung Liu,/api/v1/people/692617,Chih-Jung,Liu,1999-04-07,26,Tainan City,Taiwan,"6' 0""",185,TRUE,Chih-Jung,Liu,NA,Liu,M,TRUE,TRUE,Chih-Jung Liu,chih-jung-liu-692617,Chih-Jung Liu,"Liu, Chih-Jung","Liu, C",C Liu,Chih-Jung  Liu,"Liu, Chih-Jung ",3.371,1.535,NA,NA,NA,1,Pitcher,Pitcher,P,S,Switch,R,Right,"https://img.mlbstatic.com/mlb-photos/image/upload/c_fill,g_auto/w_180/v1/people/692617/headshot/milb/current",,Portland Sea Dogs,Double-A,Boston Red Sox,AA
806825,Nien-Hsi Yang,/api/v1/people/806825,Nien-Hsi,Yang,2006-08-10,19,Tainan,Taiwan,"6' 2""",198,TRUE,Nien-Hsi,Yang,NA,Yang,M,TRUE,TRUE,Nien-Hsi Yang,nien-hsi-yang-806825,Nien-Hsi Yang,"Yang, Nien-Hsi","Yang, N",N Yang,Nien-Hsi Yang,"Yang, Nien-Hsi ",3.467,1.589,NA,NA,NA,1,Pitcher,Pitcher,P,L,Left,R,Right,"https://img.mlbstatic.com/mlb-photos/image/upload/c_fill,g_auto/w_180/v1/people/806825/headshot/milb/current",,ACL Giants,Rookie,San Francisco Giants,Rk
678906,Kai-Wei Teng,/api/v1/people/678906,Kai-Wei,Teng,1998-12-01,26,Taichung,Taiwan,"6' 4""",241,TRUE,Kai-Wei,Teng,NA,Teng,M,TRUE,TRUE,Kai-Wei Teng,kai-wei-teng-678906,Kai-Wei Teng,"Teng, Kai-Wei","Teng, K",K Teng,Kai-Wei Teng,"Teng, Kai-Wei ",3.549,1.627,66,kai-way,2024-03-31,1,Pitcher,Pitcher,P,R,Right,R,Right,"https://img.mlbstatic.com/mlb-photos/image/upload/c_fill,g_auto/w_180/v1/people/678906/headshot/milb/current",,San Francisco Giants,Major League Baseball,NA,MLB
806823,Sheng-En Lin,/api/v1/people/806823,Sheng-En,Lin,2005-09-01,20,Taitung,Taiwan,"5' 11""",185,TRUE,Sheng-En,Lin,NA,"Lin, S",M,TRUE,TRUE,Sheng-En Lin,sheng-en-lin-806823,Sheng-En Lin,"Lin, Sheng-En","Lin, S",S Lin,Sheng-En Lin,"Lin, Sheng-En",3.319,1.513,NA,NA,NA,6,Shortstop,Infielder,SS,L,Left,R,Right,"https://img.mlbstatic.com/mlb-photos/image/upload/c_fill,g_auto/w_180/v1/people/806823/headshot/milb/current",,Daytona Tortugas,Single-A,Cincinnati Reds,A
813820,Chen-Wei Lin,/api/v1/people/813820,Chen-Wei,Lin,2001-11-22,23,Tanei,Taiwan,"6' 7""",188,TRUE,Chen-Wei,Lin,NA,Lin,M,TRUE,TRUE,Chen-Wei Lin,chen-wei-lin-813820,Chen-Wei Lin,"Lin, Chen-Wei","Lin, C",C Lin,Chen-Wei Lin,"Lin, Chen-Wei ",3.756,1.746,NA,NA,NA,1,Pitcher,Pitcher,P,R,Right,R,Right,"https://img.mlbstatic.com/mlb-photos/image/upload/c_fill,g_auto/w_180/v1/people/813820/headshot/milb/current",,Glendale Desert Dogs,Winter Leagues,Office of the Commissioner,AFL
828667,Ching-Hsien Ko,/api/v1/people/828667,Ching-Hsien,Ko,2006-08-11,19,Taiping,Taiwan,"6' 3""",215,TRUE,Ching-Hsien,Ko,NA,Ko,M,TRUE,TRUE,Ching-Hsien Ko,ching-hsien-ko-828667,Ching-Hsien Ko,"Ko, Ching-Hsien","Ko, C",C Ko,Ching-Hsien Ko,"Ko, Ching-Hsien ",3.49,1.601,NA,NA,NA,O,Outfield,Outfielder,OF,L,Left,R,Right,"https://img.mlbstatic.com/mlb-photos/image/upload/c_fill,g_auto/w_180/v1/people/828667/headshot/milb/current",,Rancho Cucamonga Quakes,Single-A,Los Angeles Dodgers,A
